Fasta headers	Hypo 42	Hypo 42	Hypo 42	Hypo 45	Hypo 45	Hypo 45	Hypo CH	Hypo CH	Hypo CH	Hypo W3
tr|Q8C545|Q8C545_MOUSE Putative uncharacterized protein OS=Mus musculus PE=2 SV=1;tr|A0A1D5RLR3|A0A1D5RLR3_MOUSE RNA-binding protein 34 OS=Mus musculus GN=Rbm34 PE=1 SV=1;tr|B2RUP0|B2RUP0_MOUSE RNA binding motif protein 34 OS=Mus musculus GN=Rbm34 PE=1 SV=	1258400	1361200	1194500	1201400	1121200	1333200	2098000	1308400	1594100	668450
tr|A0A1D5RLW7|A0A1D5RLW7_MOUSE MAU2 chromatid cohesion factor homolog OS=Mus musculus GN=Mau2 PE=1 SV=1;tr|A0A1D5RLR7|A0A1D5RLR7_MOUSE MAU2 chromatid cohesion factor homolog OS=Mus musculus GN=Mau2 PE=1 SV=1;sp|Q9D2X5-2|SCC4_MOUSE Isoform 2 of MAU2 chromat	1605500	1543100	1504400	1644600	1006100	1714900	2423500	1519200	1851000	797840
tr|A0A1L1SQ42|A0A1L1SQ42_MOUSE GRAM domain-containing protein 1B OS=Mus musculus GN=Gramd1b PE=1 SV=1;tr|D3YWR0|D3YWR0_MOUSE GRAM domain-containing protein 1B OS=Mus musculus GN=Gramd1b PE=1 SV=2;tr|A0A1D5RLT6|A0A1D5RLT6_MOUSE GRAM domain-containing protei	1466600	1403600	1320600	1232500	1641700	1539000	2225700	1399300	1657700	972020
tr|A0A1D5RLV0|A0A1D5RLV0_MOUSE Protein IWS1 homolog OS=Mus musculus GN=Iws1 PE=1 SV=1;tr|A0A1D5RMB4|A0A1D5RMB4_MOUSE Protein IWS1 homolog (Fragment) OS=Mus musculus GN=Iws1 PE=1 SV=1;sp|Q8C1D8|IWS1_MOUSE Protein IWS1 homolog OS=Mus musculus GN=Iws1 PE=1 SV	242540	259960	237650	271350	129520	258190	356320	227760	269460	112550
tr|Q3UH12|Q3UH12_MOUSE Putative uncharacterized protein (Fragment) OS=Mus musculus GN=Epb41 PE=2 SV=1;tr|A0A1D5RLV1|A0A1D5RLV1_MOUSE Protein 4.1 (Fragment) OS=Mus musculus GN=Epb41 PE=1 SV=1	1030500	1105300	1127800	1075200	1208200	1171700	1541500	983460	1173700	515700
tr|A0A1D5RLV3|A0A1D5RLV3_MOUSE Protein unc-80 homolog OS=Mus musculus GN=Unc80 PE=1 SV=1;tr|B8XCJ6|B8XCJ6_MOUSE Protein unc-80 homolog OS=Mus musculus GN=Unc80 PE=1 SV=1;sp|Q8BLN6|UNC80_MOUSE Protein unc-80 homolog OS=Mus musculus GN=Unc80 PE=1 SV=2	1910800	1867500	1716900	1778700	1730900	1872700	2769800	1870100	2192400	948320
tr|A0A1D5RLV7|A0A1D5RLV7_MOUSE WD repeat and FYVE domain-containing protein 3 OS=Mus musculus GN=Wdfy3 PE=1 SV=1;tr|G3UYW1|G3UYW1_MOUSE WD repeat and FYVE domain-containing protein 3 OS=Mus musculus GN=Wdfy3 PE=1 SV=1;sp|Q6VNB8|WDFY3_MOUSE WD repeat and FY	1168600	1076400	1094300	1142900	1125900	1261000	1642600	1021800	1213400	578720
tr|A0A1D5RLX9|A0A1D5RLX9_MOUSE Putative sodium-coupled neutral amino acid transporter 7 (Fragment) OS=Mus musculus GN=Slc38a7 PE=1 SV=1;sp|Q8BWH0|S38A7_MOUSE Putative sodium-coupled neutral amino acid transporter 7 OS=Mus musculus GN=Slc38a7 PE=1 SV=1	940210	941270	903330	1084200	948530	1055300	1340800	704770	1075800	437780
tr|A0A1D5RLY9|A0A1D5RLY9_MOUSE Signal-induced proliferation-associated 1-like protein 2 OS=Mus musculus GN=Sipa1l2 PE=1 SV=1;tr|B9EK76|B9EK76_MOUSE Signal-induced proliferation-associated 1 like 2 OS=Mus musculus GN=Sipa1l2 PE=2 SV=1;sp|Q80TE4-2|SI1L2_MOUS	1335500	1364600	1233000	1307800	1615800	1396900	2119600	1298000	1555600	789710
tr|A0A1D5RLZ8|A0A1D5RLZ8_MOUSE EF-hand calcium-binding domain-containing protein 4B OS=Mus musculus GN=Cracr2a PE=4 SV=1	834000	875190	828830	862690	852450	910340	1329600	841090	1039700	446980
tr|A0A1D5RM07|A0A1D5RM07_MOUSE Transcriptional repressor p66 alpha (Fragment) OS=Mus musculus GN=Gatad2a PE=1 SV=1;tr|A0A1D5RM58|A0A1D5RM58_MOUSE Transcriptional repressor p66 alpha (Fragment) OS=Mus musculus GN=Gatad2a PE=1 SV=1;tr|A0A1I7Q4G8|A0A1I7Q4G8_M	2004700	2316100	2208800	2811700	3506200	2252400	2892500	1834700	2606300	1366200
tr|A0A1D5RM79|A0A1D5RM79_MOUSE 60S ribosomal protein L18a OS=Mus musculus GN=Rpl18a PE=1 SV=1	958050	982840	894460	868820	1095900	976760	1549300	1011000	1064000	422530
tr|A0A1D5RM83|A0A1D5RM83_MOUSE IQ motif and SEC7 domain-containing protein 1 OS=Mus musculus GN=Iqsec1 PE=1 SV=1;sp|Q8R0S2|IQEC1_MOUSE IQ motif and SEC7 domain-containing protein 1 OS=Mus musculus GN=Iqsec1 PE=1 SV=2;sp|Q8R0S2-2|IQEC1_MOUSE Isoform 2 of IQ	1573500	1209200	1402200	1537500	883700	1687600	2008200	1098200	1512000	833260
tr|A0A1D5RM90|A0A1D5RM90_MOUSE Transcription factor 25 OS=Mus musculus GN=Tcf25 PE=1 SV=1;tr|B2ZAC8|B2ZAC8_MOUSE Nuclear localized protein-1 isoform d (Fragment) OS=Mus musculus GN=Tcf25 PE=1 SV=1;sp|Q8R3L2-4|TCF25_MOUSE Isoform 4 of Transcription factor 2	896250	867890	878870	940900	747790	984810	1290600	846600	1026700	449760
tr|Q3UJU3|Q3UJU3_MOUSE E3 ubiquitin-protein ligase OS=Mus musculus GN=Wwp2 PE=2 SV=1;tr|A0A1D5RM92|A0A1D5RM92_MOUSE E3 ubiquitin-protein ligase OS=Mus musculus GN=Wwp2 PE=1 SV=1;tr|I3RSH5|I3RSH5_MOUSE E3 ubiquitin-protein ligase OS=Mus musculus GN=Wwp2 PE=	2190100	1927900	2049500	1908800	2966800	2255100	2903100	1745500	2068300	1177700
tr|A0A1D5RM97|A0A1D5RM97_MOUSE Microtubule-associated serine/threonine-protein kinase 3 OS=Mus musculus GN=Mast3 PE=1 SV=1;tr|E9Q8S5|E9Q8S5_MOUSE Microtubule-associated serine/threonine-protein kinase 3 OS=Mus musculus GN=Mast3 PE=1 SV=2;sp|Q3U214|MAST3_MO	675900	697690	638000	647000	623400	689810	1074100	641490	754160	378020
tr|A0A1D5RMD5|A0A1D5RMD5_MOUSE Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 (Fragment) OS=Mus musculus GN=Agap1 PE=4 SV=1	1251300	1363900	1275800	1301400	1404700	1415400	2053900	1347000	1634900	824550
tr|A0A1D5RMG4|A0A1D5RMG4_MOUSE Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 OS=Mus musculus GN=Agap3 PE=1 SV=1	1268100	1324900	1229900	1319400	1035500	1360000	2088500	1314000	1613200	716620
tr|A0A1D5RMH0|A0A1D5RMH0_MOUSE Storkhead-box protein 2 OS=Mus musculus GN=Stox2 PE=1 SV=1;sp|Q499E5-3|STOX2_MOUSE Isoform 3 of Storkhead-box protein 2 OS=Mus musculus GN=Stox2;sp|Q499E5-2|STOX2_MOUSE Isoform 2 of Storkhead-box protein 2 OS=Mus musculus GN=	1088900	1221100	1074400	1182900	1067700	1175700	1645400	1094700	1320000	664230
tr|A0A1D5RMH2|A0A1D5RMH2_MOUSE Potassium channel subfamily K member 1 OS=Mus musculus GN=Kcnk1 PE=1 SV=1;sp|O08581|KCNK1_MOUSE Potassium channel subfamily K member 1 OS=Mus musculus GN=Kcnk1 PE=1 SV=2	1414000	1196000	1320800	1396800	1971100	1466600	1853800	1258600	1439300	909880
tr|F6Z9E6|F6Z9E6_MOUSE PH and SEC7 domain-containing protein 3 OS=Mus musculus GN=Psd3 PE=1 SV=2;tr|A0A1D5RMH7|A0A1D5RMH7_MOUSE PH and SEC7 domain-containing protein 3 OS=Mus musculus GN=Psd3 PE=1 SV=1;sp|Q2PFD7-5|PSD3_MOUSE Isoform 5 of PH and SEC7 domain	901220	1033700	850810	863640	914070	968520	1458700	908690	1103800	523030
tr|B7ZWL1|B7ZWL1_MOUSE CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=1;tr|A0A1D5RMJ8|A0A1D5RMJ8_MOUSE CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=1;sp|Q6ZQ08-2|CNOT1_MOUSE Isoform 2 of CCR4-NOT tran	1220500	1135000	1126400	1063500	1195400	1208000	1781900	1126300	1263900	600500
tr|B2RXS7|B2RXS7_MOUSE Dock9 protein OS=Mus musculus GN=Dock9 PE=2 SV=1;tr|A0A1D5RMM1|A0A1D5RMM1_MOUSE Dedicator of cytokinesis protein 9 OS=Mus musculus GN=Dock9 PE=1 SV=1;tr|F8VPN7|F8VPN7_MOUSE Dedicator of cytokinesis protein 9 OS=Mus musculus GN=Dock9 	1000400	1014200	956520	1044500	1127000	1101500	1552300	959400	1229200	518240
tr|J7NUP1|J7NUP1_MOUSE Immunity-related GTPase family M protein 1 OS=Mus musculus GN=Irgm1 PE=1 SV=1;tr|A0A1G5SJJ3|A0A1G5SJJ3_MOUSE Irgm1 OS=Mus musculus GN=OTTMUSPWKG00059374 PE=4 SV=1;sp|Q60766-2|IRGM1_MOUSE Isoform 2 of Immunity-related GTPase family M 	962200	928760	953690	1029600	865860	1073500	1384200	910100	1143100	546480
tr|Q3UHC9|Q3UHC9_MOUSE Potassium voltage-gated channel subfamily H member 1 OS=Mus musculus GN=Kcnh1 PE=1 SV=1;tr|Q32MR7|Q32MR7_MOUSE Potassium voltage-gated channel, subfamily H (Eag-related), member 1 OS=Mus musculus GN=Kcnh1 PE=2 SV=1;tr|A0A1L1M1J8|A0A1	515780	537790	492870	529870	422110	523270	793870	477520	614080	234000
tr|A0A1L1SQ41|A0A1L1SQ41_MOUSE Arginyl-tRNA--protein transferase 1 OS=Mus musculus GN=Ate1 PE=1 SV=1;tr|Q4FCQ6|Q4FCQ6_MOUSE Arginyl-tRNA--protein transferase 1 OS=Mus musculus GN=Ate1 PE=2 SV=1;tr|J3QNU1|J3QNU1_MOUSE Arginyl-tRNA--protein transferase 1 OS=	535310	534720	502450	507510	430430	563200	811930	512470	599370	262430
tr|E9PUM4|E9PUM4_MOUSE Talin-2 OS=Mus musculus GN=Tln2 PE=1 SV=1;tr|A0A1L1SQ51|A0A1L1SQ51_MOUSE Talin-2 OS=Mus musculus GN=Tln2 PE=1 SV=1;tr|B2RY15|B2RY15_MOUSE Tln2 protein OS=Mus musculus GN=Tln2 PE=2 SV=1;sp|Q71LX4|TLN2_MOUSE Talin-2 OS=Mus musculus GN=	1172200	1273200	1131500	1058800	1088700	1218100	1882400	1212100	1381600	537580
tr|A0A1L1SQX6|A0A1L1SQX6_MOUSE Noelin-2 OS=Mus musculus GN=Olfm2 PE=1 SV=1;tr|A0A1L1SV46|A0A1L1SV46_MOUSE Noelin-2 OS=Mus musculus GN=Olfm2 PE=1 SV=1;sp|Q8BM13|NOE2_MOUSE Noelin-2 OS=Mus musculus GN=Olfm2 PE=1 SV=2	1121300	1045300	1068800	1206900	935530	1264200	1275100	906760	1193700	888560
tr|A0A1L1SQZ2|A0A1L1SQZ2_MOUSE Voltage-dependent P/Q-type calcium channel subunit alpha (Fragment) OS=Mus musculus GN=Cacna1a PE=1 SV=1	1171100	1167700	1014900	1024500	1254100	1168300	1827900	1182200	1276700	563170
sp|E9PZ19|TUTLB_MOUSE Protein turtle homolog B OS=Mus musculus GN=Igsf9b PE=1 SV=1;tr|A0A1L1SR84|A0A1L1SR84_MOUSE Protein turtle homolog B OS=Mus musculus GN=Igsf9b PE=1 SV=1;tr|D3Z169|D3Z169_MOUSE Protein turtle homolog B OS=Mus musculus GN=Igsf9b PE=1 SV	768900	822610	710350	783780	864180	818890	1303400	803920	1014900	430670
tr|A0A1L1SR96|A0A1L1SR96_MOUSE Anoctamin OS=Mus musculus GN=Ano8 PE=1 SV=1;sp|Q6PB70|ANO8_MOUSE Anoctamin-8 OS=Mus musculus GN=Ano8 PE=1 SV=3	462920	500670	458430	538480	512960	495210	665220	426180	548720	337520
tr|A0A1L1SRT4|A0A1L1SRT4_MOUSE Ubiquitin-like protein 7 (Fragment) OS=Mus musculus GN=Ubl7 PE=1 SV=1;tr|A0A1L1SRB5|A0A1L1SRB5_MOUSE Ubiquitin-like protein 7 OS=Mus musculus GN=Ubl7 PE=1 SV=1;tr|A0A1L1SRW2|A0A1L1SRW2_MOUSE Ubiquitin-like protein 7 (Fragment	856240	812090	847120	971860	939280	960960	1108100	797650	970010	604340
tr|A8C1U1|A8C1U1_MOUSE Tetraspanin (Fragment) OS=Mus musculus GN=Tspan3 PE=2 SV=1;tr|Q80XR4|Q80XR4_MOUSE Tetraspanin OS=Mus musculus GN=Tspan3 PE=2 SV=1;tr|Q545L1|Q545L1_MOUSE Tetraspanin OS=Mus musculus GN=Tspan3 PE=2 SV=1;tr|Q3TXC6|Q3TXC6_MOUSE Tetraspan	411080	376620	390960	432450	432920	454520	540460	358920	416450	187180
tr|Q922P6|Q922P6_MOUSE Hebp2 protein OS=Mus musculus GN=Hebp2 PE=1 SV=1;tr|A0A1L1SRL4|A0A1L1SRL4_MOUSE Heme-binding protein 2 OS=Mus musculus GN=Hebp2 PE=1 SV=1;sp|Q9WU63|HEBP2_MOUSE Heme-binding protein 2 OS=Mus musculus GN=Hebp2 PE=1 SV=1	289970	304790	262220	252630	235240	305590	463110	282030	331340	137960
tr|A0A1L1SRQ7|A0A1L1SRQ7_MOUSE Transmembrane protein 42 OS=Mus musculus GN=Tmem42 PE=4 SV=1;sp|Q9CR22|TMM42_MOUSE Transmembrane protein 42 OS=Mus musculus GN=Tmem42 PE=2 SV=1	860390	668480	720700	763080	741110	871620	1114800	574350	746990	341650
tr|Q9CUY1|Q9CUY1_MOUSE Putative uncharacterized protein (Fragment) OS=Mus musculus GN=Bag1 PE=2 SV=1;tr|F6TCF9|F6TCF9_MOUSE BAG family molecular chaperone regulator 1 OS=Mus musculus GN=Bag1 PE=1 SV=1;tr|A0A1L1SRT0|A0A1L1SRT0_MOUSE BAG family molecular cha	885010	840380	829670	868140	651440	918640	1236900	763610	959500	392050
tr|A0A1L1SRX2|A0A1L1SRX2_MOUSE AMP deaminase OS=Mus musculus GN=Ampd3 PE=1 SV=1;sp|O08739|AMPD3_MOUSE AMP deaminase 3 OS=Mus musculus GN=Ampd3 PE=1 SV=2;tr|Q922J7|Q922J7_MOUSE Ampd3 protein (Fragment) OS=Mus musculus GN=Ampd3 PE=2 SV=1	969320	982750	900050	909360	1109500	979430	1493800	971570	1131700	520000
tr|A0A1L1SRZ2|A0A1L1SRZ2_MOUSE Protein phosphatase 1 regulatory subunit 14C OS=Mus musculus GN=Ppp1r14c PE=1 SV=1;sp|Q8R4S0|PP14C_MOUSE Protein phosphatase 1 regulatory subunit 14C OS=Mus musculus GN=Ppp1r14c PE=1 SV=1	355590	380020	321020	308030	304550	336100	529810	293920	385320	153150
tr|Q05DM3|Q05DM3_MOUSE Keap1 protein (Fragment) OS=Mus musculus GN=Keap1 PE=2 SV=1;tr|Q3UWI4|Q3UWI4_MOUSE Putative uncharacterized protein (Fragment) OS=Mus musculus GN=Keap1 PE=2 SV=1;tr|A0A1L1SS10|A0A1L1SS10_MOUSE Kelch-like ECH-associated protein 1 OS=M	950860	952280	951570	990130	823960	1049800	1427800	901760	1081400	449580
tr|A0A1L1SSA8|A0A1L1SSA8_MOUSE Transmembrane protein 205 (Fragment) OS=Mus musculus GN=Tmem205 PE=1 SV=1;sp|Q91XE8|TM205_MOUSE Transmembrane protein 205 OS=Mus musculus GN=Tmem205 PE=1 SV=1	868320	818810	805920	858500	1239300	876360	1192900	703920	890000	484500
tr|Q3UDS7|Q3UDS7_MOUSE ADP-dependent glucokinase OS=Mus musculus GN=Adpgk PE=1 SV=1;tr|Q3TJ10|Q3TJ10_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Adpgk PE=2 SV=1;tr|A0A1L1SSF2|A0A1L1SSF2_MOUSE ADP-dependent glucokinase OS=Mus musculus GN=Adpgk	1730800	1771900	1768100	2019200	1350000	1952800	2579800	1402300	2040300	1106500
tr|Q5NCU4|Q5NCU4_MOUSE SPARC OS=Mus musculus GN=Sparc PE=1 SV=1;tr|Q5NCU5|Q5NCU5_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Sparc PE=1 SV=1;tr|Q3TXI6|Q3TXI6_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Sparc PE=2 SV=1;tr|A0A1L1S	1081300	1068400	971070	944230	1074700	1092400	1613000	991950	1202800	571820
tr|E9QPK4|E9QPK4_MOUSE Serine/threonine-protein kinase ATR OS=Mus musculus GN=Atr PE=1 SV=2;tr|A0A1L1SSL9|A0A1L1SSL9_MOUSE Serine/threonine-protein kinase ATR OS=Mus musculus GN=Atr PE=1 SV=1;sp|Q9JKK8|ATR_MOUSE Serine/threonine-protein kinase ATR OS=Mus m	755610	647200	695560	754310	670340	811380	1011500	613170	772370	345660
tr|A0A1L1SSS4|A0A1L1SSS4_MOUSE Nuclear receptor coactivator 7 OS=Mus musculus GN=Ncoa7 PE=1 SV=1;tr|B9EIW5|B9EIW5_MOUSE Ncoa7 protein OS=Mus musculus GN=Ncoa7 PE=1 SV=1;sp|Q6DFV7|NCOA7_MOUSE Nuclear receptor coactivator 7 OS=Mus musculus GN=Ncoa7 PE=1 SV=2	1383000	1412500	1439300	1408900	3643700	1449700	2216600	1334300	1639900	765870
tr|A0A1L1ST53|A0A1L1ST53_MOUSE Tumor protein D53 OS=Mus musculus GN=Tpd52l1 PE=1 SV=1;tr|B2RUC1|B2RUC1_MOUSE Tpd52l1 protein OS=Mus musculus GN=Tpd52l1 PE=1 SV=1;sp|O54818|TPD53_MOUSE Tumor protein D53 OS=Mus musculus GN=Tpd52l1 PE=1 SV=1;tr|Q3V2G6|Q3V2G6_	476330	447450	438170	434160	444370	484690	622390	393980	470640	186000
tr|A0A1L1ST61|A0A1L1ST61_MOUSE HIG1 domain family member 1A, mitochondrial (Fragment) OS=Mus musculus GN=Higd1a PE=1 SV=1;tr|A0A1L1SV00|A0A1L1SV00_MOUSE HIG1 domain family member 1A, mitochondrial (Fragment) OS=Mus musculus GN=Higd1a PE=1 SV=1;tr|Q1XG81|Q1	2146900	2528500	2410600	2424300	4455900	2572500	3477300	2248200	2954400	2000400
tr|A0A1L1STD6|A0A1L1STD6_MOUSE InaF motif-containing 2 OS=Mus musculus GN=Inafm2 PE=4 SV=1	963340	996990	907180	866640	1061100	1017000	1480200	896700	1085700	474580
tr|A0A1L1STE4|A0A1L1STE4_MOUSE Interleukin enhancer-binding factor 3 OS=Mus musculus GN=Ilf3 PE=1 SV=1;sp|Q9Z1X4|ILF3_MOUSE Interleukin enhancer-binding factor 3 OS=Mus musculus GN=Ilf3 PE=1 SV=2;sp|Q9Z1X4-3|ILF3_MOUSE Isoform 3 of Interleukin enhancer-bin	746790	748420	708370	754660	698650	812130	1163400	724510	923820	401550
tr|A0A1L1STE6|A0A1L1STE6_MOUSE Isocitrate dehydrogenase [NAD] subunit, mitochondrial OS=Mus musculus GN=Idh3a PE=1 SV=1;sp|Q9D6R2|IDH3A_MOUSE Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Mus musculus GN=Idh3a PE=1 SV=1;sp|Q9D6R2-2|IDH3A_M	799010	857250	794720	802770	788200	816670	1178900	750040	927450	419290
tr|A0A1L1STF0|A0A1L1STF0_MOUSE Family with sequence similarity 63, member B OS=Mus musculus GN=Fam63b PE=1 SV=1;sp|Q6PDI6|MINY2_MOUSE Ubiquitin carboxyl-terminal hydrolase MINDY-2 OS=Mus musculus GN=Mindy2 PE=1 SV=1;sp|Q6PDI6-3|MINY2_MOUSE Isoform 3 of Ubi	842790	790730	754560	788730	650980	871200	1255800	773790	875820	376900
tr|A0A1L1STM6|A0A1L1STM6_MOUSE Zinc finger protein 651 (Fragment) OS=Mus musculus GN=Zfp651 PE=1 SV=1;tr|E9PZ11|E9PZ11_MOUSE Zinc finger protein 651 OS=Mus musculus GN=Zfp651 PE=1 SV=1	647210	705520	595780	636390	521470	650280	1045900	604200	776650	308640
tr|A0A1L1STV8|A0A1L1STV8_MOUSE Pyruvate kinase PKM (Fragment) OS=Mus musculus GN=Pkm PE=1 SV=1;tr|A0A1L1SSN6|A0A1L1SSN6_MOUSE Pyruvate kinase PKM (Fragment) OS=Mus musculus GN=Pkm PE=1 SV=1;tr|A0A1L1SUV0|A0A1L1SUV0_MOUSE Pyruvate kinase PKM (Fragment) OS=M	91044	102660	94911	101180	94204	106540	155380	103260	117070	43639
tr|A0A1L1SU40|A0A1L1SU40_MOUSE Choline transporter-like protein 2 (Fragment) OS=Mus musculus GN=Slc44a2 PE=1 SV=1;tr|A0A1L1SS87|A0A1L1SS87_MOUSE Choline transporter-like protein 2 (Fragment) OS=Mus musculus GN=Slc44a2 PE=3 SV=1	1022900	932230	965980	919960	913820	1017300	1409700	894830	1034300	464250
tr|A0A1L1SU97|A0A1L1SU97_MOUSE Kinesin-like protein KIF15 (Fragment) OS=Mus musculus GN=Kif15 PE=1 SV=1;sp|Q6P9L6|KIF15_MOUSE Kinesin-like protein KIF15 OS=Mus musculus GN=Kif15 PE=1 SV=1	1176300	1025900	1120300	1181100	1036400	1263700	1568100	1027900	1206400	642250
tr|A0A1L1SUN4|A0A1L1SUN4_MOUSE Ensconsin (Fragment) OS=Mus musculus GN=Map7 PE=1 SV=1	476650	496200	504720	515680	348230	510320	726990	450790	579820	206050
tr|A0A1L1SUR7|A0A1L1SUR7_MOUSE Phosphatidylinositol-binding clathrin assembly protein (Fragment) OS=Mus musculus GN=Picalm PE=1 SV=1	1038400	985920	928860	933460	688660	997490	1486700	887190	1081400	463260
tr|A0A1L1SV25|A0A1L1SV25_MOUSE Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1;tr|Q3ULT2|Q3ULT2_MOUSE Actinin alpha 4 OS=Mus musculus GN=Actn4 PE=1 SV=1;sp|P57780|ACTN4_MOUSE Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1;tr|Q1A602|Q1A602_MOUSE Non-	320800	386530	315710	318640	410870	362250	579610	386080	441350	179300
tr|A0A1L1SV73|A0A1L1SV73_MOUSE Ubiquitin carboxyl-terminal hydrolase 47 OS=Mus musculus GN=Usp47 PE=1 SV=1;sp|Q8BY87-2|UBP47_MOUSE Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 47 OS=Mus musculus GN=Usp47;sp|Q8BY87|UBP47_MOUSE Ubiquitin carboxyl-termi	721260	699460	699440	708630	676280	766970	1068700	659700	802060	331570
tr|A0A1N9M8A6|A0A1N9M8A6_MOUSE DCN1-like protein OS=Mus musculus GN=Dcun1d5 PE=1 SV=1;sp|Q9CXV9|DCNL5_MOUSE DCN1-like protein 5 OS=Mus musculus GN=Dcun1d5 PE=1 SV=1;tr|A0A1L1SSU2|A0A1L1SSU2_MOUSE DCN1-like protein (Fragment) OS=Mus musculus GN=Dcun1d5 PE=1	625300	621290	632370	579220	643130	677860	1002100	619740	729030	339480
tr|A0A1S6GWF9|A0A1S6GWF9_MOUSE Uncharacterized protein OS=Mus musculus PE=2 SV=1;tr|A0A1S6GWG0|A0A1S6GWG0_MOUSE Uncharacterized protein OS=Mus musculus PE=2 SV=1;tr|E0CYB9|E0CYB9_MOUSE Mitochondrial fission factor OS=Mus musculus GN=Mff PE=1 SV=1;tr|E0CYI3	58325	62138	53148	52721	49325	60069	96825	60655	68224	27713
tr|E9Q3Z0|E9Q3Z0_MOUSE GTP-binding protein Rit1 (Fragment) OS=Mus musculus GN=Rit1 PE=1 SV=1;tr|E9Q672|E9Q672_MOUSE GTP-binding protein Rit1 OS=Mus musculus GN=Rit1 PE=1 SV=1;tr|A0A1S6GWG2|A0A1S6GWG2_MOUSE Uncharacterized protein OS=Mus musculus PE=2 SV=1;	1171200	1116300	1140700	1292500	1390900	1275500	1599100	1030200	1287000	613960
tr|A0A1S6GWG5|A0A1S6GWG5_MOUSE Mitochondrial ribosomal protein S9, isoform CRA_b OS=Mus musculus GN=Mrps9 PE=2 SV=1;sp|Q9D7N3|RT09_MOUSE 28S ribosomal protein S9, mitochondrial OS=Mus musculus GN=Mrps9 PE=1 SV=3;tr|Q3UMV5|Q3UMV5_MOUSE Putative uncharacteri	1535000	1341600	1498000	1697100	1382100	1791400	2096500	1376700	1659100	853150
tr|A0A1S6GWG6|A0A1S6GWG6_MOUSE Uncharacterized protein OS=Mus musculus PE=2 SV=1;sp|P62814|VATB2_MOUSE V-type proton ATPase subunit B, brain isoform OS=Mus musculus GN=Atp6v1b2 PE=1 SV=1	753390	608640	682910	800390	322910	799160	906190	569630	650250	306650
tr|A0A1S6GWG8|A0A1S6GWG8_MOUSE Uncharacterized protein OS=Mus musculus PE=2 SV=1;tr|A0A1S6GWG7|A0A1S6GWG7_MOUSE Uncharacterized protein OS=Mus musculus PE=2 SV=1;sp|Q9JMC3|DNJA4_MOUSE DnaJ homolog subfamily A member 4 OS=Mus musculus GN=Dnaja4 PE=1 SV=1;tr	1753900	1975700	1547800	1737900	2027900	1934000	2942600	1751500	2122600	998330
tr|E9PZ88|E9PZ88_MOUSE Alpha-mannosidase OS=Mus musculus GN=Man2c1 PE=1 SV=1;tr|F8WIE1|F8WIE1_MOUSE Alpha-mannosidase OS=Mus musculus GN=Man2c1 PE=1 SV=1;tr|Q8BWY6|Q8BWY6_MOUSE Alpha-mannosidase OS=Mus musculus GN=Man2c1 PE=2 SV=1;tr|A0A1S6GWG9|A0A1S6GWG9_	1088400	1075800	1063800	1107800	1579800	1185100	1673900	1037300	1226900	621760
tr|B1AR50|B1AR50_MOUSE Gamma-aminobutyric acid receptor-associated protein OS=Mus musculus GN=Gabarap PE=1 SV=1;tr|A0A1S6GWH0|A0A1S6GWH0_MOUSE Gamma-aminobutyric acid receptor associated protein, isoform CRA_c OS=Mus musculus GN=Gabarap PE=2 SV=1;sp|Q9DCD6	1213100	1400400	1239600	1291700	2387100	1341500	2135000	1313500	1651500	739080
tr|A0A1S6GWH3|A0A1S6GWH3_MOUSE Uncharacterized protein OS=Mus musculus PE=2 SV=1;tr|A0A1S6GWH6|A0A1S6GWH6_MOUSE Uncharacterized protein OS=Mus musculus PE=2 SV=1;sp|O88738|BIRC6_MOUSE Baculoviral IAP repeat-containing protein 6 OS=Mus musculus GN=Birc6 PE=	1455500	1233800	1226700	1225800	1767800	1324200	2005600	1212100	1457400	728120
tr|A0A1S6GWH4|A0A1S6GWH4_MOUSE Uncharacterized protein OS=Mus musculus PE=2 SV=1;sp|Q1HFZ0|NSUN2_MOUSE tRNA (cytosine(34)-C(5))-methyltransferase OS=Mus musculus GN=Nsun2 PE=1 SV=2;tr|H3BKN0|H3BKN0_MOUSE tRNA (cytosine(34)-C(5))-methyltransferase OS=Mus mu	1699400	1873700	1593400	1612400	1592600	1818300	2734000	1760100	2037100	954830
tr|B9EHN0|B9EHN0_MOUSE Ubiquitin-activating enzyme E1, Chr X OS=Mus musculus GN=Uba1 PE=1 SV=1;tr|A0A1S6GWH5|A0A1S6GWH5_MOUSE Uncharacterized protein OS=Mus musculus PE=2 SV=1;sp|Q02053|UBA1_MOUSE Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus	412060	414800	373340	398250	301680	420030	614380	369040	457310	193180
