Fasta headers	Hippo 42	Hippo 42	Hippo 42	Hippo 45	Hippo 45	Hippo 45	Hippo CH	Hippo CH	Hippo CH	Hippo W3
sp|Q61753|SERA_MOUSE D-3-phosphoglycerate dehydrogenase OS=Mus musculus GN=Phgdh PE=1 SV=3	1207900	1093600	1301900	1395100	1367500	1054200	1029300	1087500	1034400	941950
"tr|Q544M1|Q544M1_MOUSE Lymphocyte antigen 6 complex, locus H, isoform CRA_a OS=Mus musculus GN=Ly6h PE=1 SV=1;tr|Q8K356|Q8K356_MOUSE Lymphocyte antigen 6 complex, locus H OS=Mus musculus GN=Ly6h PE=1 SV=1;sp|Q9WUC3|LY6H_MOUSE Lymphocyte antigen 6H OS=Mus m"	968350	875630	1015700	1454200	1252900	1105100	1222000	1031900	1086800	344840
sp|P08228|SODC_MOUSE Superoxide dismutase [Cu-Zn] OS=Mus musculus GN=Sod1 PE=1 SV=2	1062500	1002300	1209800	1445000	1368300	993340	1519000	1039300	1045000	863140
"tr|F8VPN4|F8VPN4_MOUSE Amylo-1,6-glucosidase, 4-alpha-glucanotransferase OS=Mus musculus GN=Agl PE=1 SV=1;tr|A0A0G2JGI9|A0A0G2JGI9_MOUSE Amylo-1,6-glucosidase, 4-alpha-glucanotransferase OS=Mus musculus GN=Agl PE=1 SV=1;tr|F6XXE6|F6XXE6_MOUSE Amylo-1,6-glu"	1230700	1253800	1284700	1291100	1376600	1130000	990290	1298400	1153500	806370
tr|B2KGP3|B2KGP3_MOUSE Protein phosphatase 1E (PP2C domain containing) OS=Mus musculus GN=Ppm1e PE=1 SV=1;sp|Q80TL0|PPM1E_MOUSE Protein phosphatase 1E OS=Mus musculus GN=Ppm1e PE=1 SV=2	1289800	1361800	1283000	1314500	1400500	1081300	976060	1334500	1145800	1285500
sp|Q5SYD0|MYO1D_MOUSE Unconventional myosin-Id OS=Mus musculus GN=Myo1d PE=1 SV=1;sp|Q5SYD0-2|MYO1D_MOUSE Isoform 2 of Unconventional myosin-Id OS=Mus musculus GN=Myo1d;tr|B2RWZ2|B2RWZ2_MOUSE Myo1d protein OS=Mus musculus GN=Myo1d PE=2 SV=1	1387700	1469800	1495900	1305000	1493800	996720	831560	1191700	920480	569100
sp|Q6NXK7|DPP10_MOUSE Inactive dipeptidyl peptidase 10 OS=Mus musculus GN=Dpp10 PE=1 SV=1;tr|E9QN98|E9QN98_MOUSE Inactive dipeptidyl peptidase 10 OS=Mus musculus GN=Dpp10 PE=1 SV=1;tr|D3Z5I7|D3Z5I7_MOUSE Inactive dipeptidyl peptidase 10 OS=Mus musculus GN=	1170600	1078200	1220800	1301400	1351900	1141400	1018500	1342800	1109200	584730
"tr|Q3UN60|Q3UN60_MOUSE Membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6), isoform CRA_b OS=Mus musculus GN=Mpp6 PE=2 SV=1;sp|Q9JLB0|MPP6_MOUSE MAGUK p55 subfamily member 6 OS=Mus musculus GN=Mpp6 PE=1 SV=1"	1280300	1227300	1283400	1340600	1366600	1087200	1114700	1279300	1174400	537890
tr|I1E4X7|I1E4X7_MOUSE Diphosphoinositol polyphosphate phosphohydrolase 1 OS=Mus musculus GN=Nudt3 PE=1 SV=1;sp|Q9JI46|NUDT3_MOUSE Diphosphoinositol polyphosphate phosphohydrolase 1 OS=Mus musculus GN=Nudt3 PE=1 SV=1;tr|H3BLR8|H3BLR8_MOUSE Diphosphoinosito	1339200	1316000	1363700	1338900	1500400	947730	1131700	1296800	1119100	568550
tr|A0A0A0MQD5|A0A0A0MQD5_MOUSE SH3 and multiple ankyrin repeat domains protein 3 OS=Mus musculus GN=Shank3 PE=1 SV=1;sp|Q4ACU6|SHAN3_MOUSE SH3 and multiple ankyrin repeat domains protein 3 OS=Mus musculus GN=Shank3 PE=1 SV=3;sp|Q4ACU6-3|SHAN3_MOUSE Isoform	1265300	1282000	1251600	1352600	1355700	1077300	1018800	1252000	1146900	847240
"tr|Q5SVF7|Q5SVF7_MOUSE 4-nitrophenylphosphatase domain and non-neuronal SNAP25-like protein homolog 1 (C. elegans), isoform CRA_f OS=Mus musculus GN=Nipsnap1 PE=1 SV=1;sp|O55125|NIPS1_MOUSE Protein NipSnap homolog 1 OS=Mus musculus GN=Nipsnap1 PE=1 SV=1;tr"	1264600	1341700	1335300	1276200	1365000	1142700	976070	1381800	1147100	743280
tr|G3UZM4|G3UZM4_MOUSE Cell adhesion molecule 2 (Fragment) OS=Mus musculus GN=Cadm2 PE=1 SV=1;sp|Q8BLQ9-3|CADM2_MOUSE Isoform 3 of Cell adhesion molecule 2 OS=Mus musculus GN=Cadm2;sp|Q8BLQ9-2|CADM2_MOUSE Isoform 2 of Cell adhesion molecule 2 OS=Mus muscul	1244600	1042200	1176800	1420600	1429700	917070	1379900	1107300	1141200	326640
tr|A5GZX3|A5GZX3_MOUSE Lactoylglutathione lyase OS=Mus musculus GN=Glo1 PE=1 SV=1;sp|Q9CPU0|LGUL_MOUSE Lactoylglutathione lyase OS=Mus musculus GN=Glo1 PE=1 SV=3	1124000	1085200	1162700	1484900	1348300	922760	1180300	970150	957920	655360
sp|Q9D1R9|RL34_MOUSE 60S ribosomal protein L34 OS=Mus musculus GN=Rpl34 PE=1 SV=2;tr|A0A0G2JEY6|A0A0G2JEY6_MOUSE 60S ribosomal protein L34 OS=Mus musculus GN=Rpl34 PE=1 SV=1;tr|A0A0G2JGY8|A0A0G2JGY8_MOUSE 60S ribosomal protein L34 (Fragment) OS=Mus musculu	1288900	1461200	1303300	1285200	1418200	1048200	959700	1326700	1097200	952310
tr|Q7TMQ1|Q7TMQ1_MOUSE Gap junction protein OS=Mus musculus GN=Gja1 PE=2 SV=1;sp|P23242|CXA1_MOUSE Gap junction alpha-1 protein OS=Mus musculus GN=Gja1 PE=1 SV=2	1202100	1102800	1149600	1329700	1387300	1033100	857730	1010500	1018600	1360600
tr|Q5PPQ7|Q5PPQ7_MOUSE Coronin OS=Mus musculus GN=Coro1c PE=2 SV=1;tr|Q499X7|Q499X7_MOUSE Coronin OS=Mus musculus GN=Coro1c PE=1 SV=1;tr|Q3TF74|Q3TF74_MOUSE Coronin OS=Mus musculus GN=Coro1c PE=2 SV=1;tr|Q3TEU8|Q3TEU8_MOUSE Coronin OS=Mus musculus GN=Coro1	1359500	1479000	1296400	1199400	1503300	1044500	884830	1295400	1108800	546880
tr|B2RSR7|B2RSR7_MOUSE Glycerol-3-phosphate dehydrogenase [NAD(+)] OS=Mus musculus GN=Gpd1l PE=2 SV=1;sp|Q3ULJ0|GPD1L_MOUSE Glycerol-3-phosphate dehydrogenase 1-like protein OS=Mus musculus GN=Gpd1l PE=1 SV=2;sp|Q3ULJ0-2|GPD1L_MOUSE Isoform 2 of Glycerol-3	1322800	1270200	1305400	1277500	1370500	1093500	960800	1319900	1118800	538650
"sp|F8VPU2|FARP1_MOUSE FERM, RhoGEF and pleckstrin domain-containing protein 1 OS=Mus musculus GN=Farp1 PE=1 SV=1;tr|Q8K2R0|Q8K2R0_MOUSE Farp1 protein (Fragment) OS=Mus musculus GN=Farp1 PE=2 SV=1"	1263300	1260500	1387900	1237600	1363600	1138900	955400	1279600	1102500	897390
tr|Q3U0T9|Q3U0T9_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Rab35 PE=1 SV=1;sp|Q6PHN9|RAB35_MOUSE Ras-related protein Rab-35 OS=Mus musculus GN=Rab35 PE=1 SV=1	1177400	1256400	1246300	1355800	1335200	1045800	1071100	1254200	1061300	470600
tr|A0A0R4IZY0|A0A0R4IZY0_MOUSE Thimet oligopeptidase OS=Mus musculus GN=Thop1 PE=1 SV=1;sp|Q8C1A5|THOP1_MOUSE Thimet oligopeptidase OS=Mus musculus GN=Thop1 PE=1 SV=1	1222500	1228100	1284800	1246500	1380200	1108300	898200	1220100	1006900	570510
tr|R7RU63|R7RU63_MOUSE Cortactin-binding protein 2 short form OS=Mus musculus GN=Cttnbp2 PE=2 SV=1;tr|R7RVD4|R7RVD4_MOUSE Cortactin-binding protein 2 intron retention form OS=Mus musculus GN=Cttnbp2 PE=2 SV=1;sp|B9EJA2-2|CTTB2_MOUSE Isoform 2 of Cortactin-	1038800	998630	1142200	1342300	1371100	1009900	1150500	1085300	1186800	558150
sp|P60840|ENSA_MOUSE Alpha-endosulfine OS=Mus musculus GN=Ensa PE=1 SV=1;sp|P60840-2|ENSA_MOUSE Isoform 2 of Alpha-endosulfine OS=Mus musculus GN=Ensa	1147600	985740	1191600	1453300	1320500	948400	1352200	1043100	1092400	384500
"sp|Q8BMF3|MAON_MOUSE NADP-dependent malic enzyme, mitochondrial OS=Mus musculus GN=Me3 PE=1 SV=2;tr|Q3UZW5|Q3UZW5_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Me3 PE=2 SV=1"	1321800	1337800	1243600	1243600	1354900	1108700	856630	1187300	1024200	926650
sp|Q8BH44|COR2B_MOUSE Coronin-2B OS=Mus musculus GN=Coro2b PE=1 SV=2;tr|G3UW48|G3UW48_MOUSE Coronin (Fragment) OS=Mus musculus GN=Coro2b PE=1 SV=1	1347500	1399100	1275300	1222100	1341400	1142600	865280	1330100	1100000	802340
tr|Q3U4D1|Q3U4D1_MOUSE Adenosylhomocysteinase OS=Mus musculus PE=2 SV=1;tr|Q3TF14|Q3TF14_MOUSE Adenosylhomocysteinase OS=Mus musculus GN=Ahcy PE=1 SV=1;sp|P50247|SAHH_MOUSE Adenosylhomocysteinase OS=Mus musculus GN=Ahcy PE=1 SV=3;tr|Q5M9P0|Q5M9P0_MOUSE Ade	1207000	1212400	1295600	1265300	1349900	1083100	949870	1262500	1098400	876890
tr|Q5KU03|Q5KU03_MOUSE Glycogen synthase kinase 3 beta OS=Mus musculus GN=Gsk3b PE=1 SV=1;tr|E9QAQ5|E9QAQ5_MOUSE Glycogen synthase kinase-3 beta OS=Mus musculus GN=Gsk3b PE=1 SV=1;sp|Q9WV60|GSK3B_MOUSE Glycogen synthase kinase-3 beta OS=Mus musculus GN=Gsk	1336400	1335800	1270500	1211500	1367600	1114100	914270	1354500	1126100	768570
sp|P48036|ANXA5_MOUSE Annexin A5 OS=Mus musculus GN=Anxa5 PE=1 SV=1	1214200	1087900	1204600	1326400	1310600	1054700	1027400	1115900	1081000	1214600
tr|Q3UB67|Q3UB67_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Rpl3 PE=2 SV=1;tr|Q3UB15|Q3UB15_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Rpl3 PE=2 SV=1;sp|P27659|RL3_MOUSE 60S ribosomal protein L3 OS=Mus musculus GN=Rpl3 PE=1 SV	1272400	1512600	1290500	1241300	1369900	1080200	915440	1295200	1066000	641450
sp|E9PVA8|GCN1_MOUSE eIF-2-alpha kinase activator GCN1 OS=Mus musculus GN=Gcn1 PE=1 SV=1;tr|Q3UHQ5|Q3UHQ5_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Gcn1l1 PE=2 SV=1;tr|Q8CHH7|Q8CHH7_MOUSE MKIAA0219 protein (Fragment) OS=Mus musculus GN=Gcn1	1220200	1307900	1282500	1227500	1379900	1080000	984520	1438900	1210800	786340
"tr|Q3TKM5|Q3TKM5_MOUSE Isocitrate dehydrogenase [NAD] subunit, mitochondrial OS=Mus musculus GN=Idh3g PE=2 SV=1;tr|Q3TGZ3|Q3TGZ3_MOUSE Isocitrate dehydrogenase [NAD] subunit, mitochondrial OS=Mus musculus GN=Idh3g PE=1 SV=1;sp|P70404|IDHG1_MOUSE Isocitrate"	1236600	1270900	1288800	1239600	1341000	1106800	962700	1282000	1110900	1064100
tr|Q540I4|Q540I4_MOUSE Flotillin 1 OS=Mus musculus GN=Flot1 PE=1 SV=1;sp|O08917|FLOT1_MOUSE Flotillin-1 OS=Mus musculus GN=Flot1 PE=1 SV=1;tr|Q3TJS0|Q3TJS0_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Flot1 PE=2 SV=1;tr|G3UYU4|G3UYU4_MOUSE Flo	1128200	1043200	1216700	1332800	1260700	1093700	996820	1140700	1003500	683290
"tr|Q6NV54|Q6NV54_MOUSE Mitogen-activated protein kinase 8 interacting protein 3 OS=Mus musculus GN=Mapk8ip3 PE=2 SV=1;tr|Q3UHB5|Q3UHB5_MOUSE Mitogen-activated protein kinase 8 interacting protein 3, isoform CRA_a OS=Mus musculus GN=Mapk8ip3 PE=2 SV=1;tr|J3"	1180900	1232800	1310400	1244600	1362300	1076100	1051700	1386100	1213800	632570
sp|Q62417|SRBS1_MOUSE Sorbin and SH3 domain-containing protein 1 OS=Mus musculus GN=Sorbs1 PE=1 SV=2	1071800	1045000	1196700	1339700	1270400	1071800	1160700	1116300	1082900	674450
tr|B2RS27|B2RS27_MOUSE RAS protein-specific guanine nucleotide-releasing factor 1 OS=Mus musculus GN=Rasgrf1 PE=1 SV=1;sp|P27671|RGRF1_MOUSE Ras-specific guanine nucleotide-releasing factor 1 OS=Mus musculus GN=Rasgrf1 PE=1 SV=2	1287600	1355100	1307000	1219600	1385700	1075100	898970	1300900	1045800	541430
"sp|Q08331|CALB2_MOUSE Calretinin OS=Mus musculus GN=Calb2 PE=1 SV=3;tr|Q8CCS7|Q8CCS7_MOUSE Calbindin 2, isoform CRA_a OS=Mus musculus GN=Calb2 PE=1 SV=1"	971150	695710	984120	1299600	1180600	1194400	1075300	1013300	1033100	758340
tr|Q3TD71|Q3TD71_MOUSE Secretory carrier-associated membrane protein OS=Mus musculus GN=Scamp1 PE=1 SV=1;sp|Q8K021|SCAM1_MOUSE Secretory carrier-associated membrane protein 1 OS=Mus musculus GN=Scamp1 PE=1 SV=1;tr|Q3UY11|Q3UY11_MOUSE Secretory carrier-asso	1133100	1113500	1166600	1394700	1228300	1050200	1136800	1067000	1005900	464000
tr|F7CYX4|F7CYX4_MOUSE Liprin-alpha-2 OS=Mus musculus GN=Ppfia2 PE=1 SV=1;tr|B8QI34|B8QI34_MOUSE Liprin-alpha 2 OS=Mus musculus GN=Ppfia2 PE=1 SV=1;tr|Q5DTM9|Q5DTM9_MOUSE MKIAA4112 protein (Fragment) OS=Mus musculus GN=Ppfia2 PE=2 SV=1;sp|Q8BSS9|LIPA2_MOUS	1143400	1215600	1249900	1259600	1339100	1074300	1055500	1227300	1098500	835990
"tr|Q14AI7|Q14AI7_MOUSE COP9 (Constitutive photomorphogenic) homolog, subunit 4 (Arabidopsis thaliana) OS=Mus musculus GN=Cops4 PE=1 SV=1;sp|O88544|CSN4_MOUSE COP9 signalosome complex subunit 4 OS=Mus musculus GN=Cops4 PE=1 SV=1;tr|F6QTS1|F6QTS1_MOUSE COP9 "	1224400	1163700	1212900	1284100	1270400	1118000	981190	1185000	1093000	605400
tr|K3W4Q8|K3W4Q8_MOUSE Basigin OS=Mus musculus GN=Bsg PE=1 SV=1;tr|O55108|O55108_MOUSE Basigin (Fragment) OS=Mus musculus GN=Bsg PE=1 SV=1;tr|O55107|O55107_MOUSE Basigin (Fragment) OS=Mus musculus GN=Bsg PE=2 SV=1;sp|P18572-2|BASI_MOUSE Isoform 2 of Basigi	1199300	1130700	1220500	1306000	1349200	1016800	1109000	1170000	1138300	967800
tr|Q4KML7|Q4KML7_MOUSE Ezrin OS=Mus musculus GN=Ezr PE=1 SV=1;tr|Q3UXR4|Q3UXR4_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Ezr PE=2 SV=1;sp|P26040|EZRI_MOUSE Ezrin OS=Mus musculus GN=Ezr PE=1 SV=3;tr|Q3UL48|Q3UL48_MOUSE Putative uncharacteriz	1267800	1275600	1318000	1266700	1344800	1054700	1038800	1193900	1031600	602340
sp|Q8BHN3|GANAB_MOUSE Neutral alpha-glucosidase AB OS=Mus musculus GN=Ganab PE=1 SV=1	1234400	1271600	1253500	1254700	1299300	1106700	943600	1279200	1075500	880700
tr|Q50HX4|Q50HX4_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Rab14 PE=1 SV=1;tr|Q50HX2|Q50HX2_MOUSE RAB14 protein OS=Mus musculus GN=Rab14 PE=2 SV=1;sp|Q91V41|RAB14_MOUSE Ras-related protein Rab-14 OS=Mus musculus GN=Rab14 PE=1 SV=3;tr|Q50HX3	1155000	1121100	1208200	1315800	1305000	1038900	1010700	1177800	1043600	500810
sp|Q9EQZ6-3|RPGF4_MOUSE Isoform 3 of Rap guanine nucleotide exchange factor 4 OS=Mus musculus GN=Rapgef4;tr|A2ASW4|A2ASW4_MOUSE Rapgef4 protein OS=Mus musculus GN=Rapgef4 PE=2 SV=1;tr|Q571A8|Q571A8_MOUSE MKIAA4040 protein (Fragment) OS=Mus musculus GN=Rapg	1200000	1291400	1276100	1230100	1341700	1087300	954460	1260400	1091100	529900
"tr|E9QB02|E9QB02_MOUSE Methionine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Mars PE=1 SV=1;sp|Q68FL6|SYMC_MOUSE Methionine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Mars PE=1 SV=1"	1155200	1249400	1266600	1206300	1366400	1077700	900400	1225500	1030500	531090
"sp|P12787|COX5A_MOUSE Cytochrome c oxidase subunit 5A, mitochondrial OS=Mus musculus GN=Cox5a PE=1 SV=2"	1148200	922170	1042900	1490300	1131000	1019000	1157500	933950	1024800	1086300
sp|P62141|PP1B_MOUSE Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Mus musculus GN=Ppp1cb PE=1 SV=3	1231900	1243600	1212200	1255500	1341800	1030200	949190	1235100	1093600	804180
sp|Q9CQW1|YKT6_MOUSE Synaptobrevin homolog YKT6 OS=Mus musculus GN=Ykt6 PE=1 SV=1	1173200	1101300	1174300	1286100	1254600	1081800	1012100	1178900	1060600	574080
tr|Q8VDC3|Q8VDC3_MOUSE Aconitate hydratase OS=Mus musculus GN=aco1 PE=3 SV=1;sp|P28271|ACOC_MOUSE Cytoplasmic aconitate hydratase OS=Mus musculus GN=Aco1 PE=1 SV=3	1199800	1294500	1261800	1227100	1337600	1052000	921550	1228600	1035800	853460
sp|Q9Z1F9|SAE2_MOUSE SUMO-activating enzyme subunit 2 OS=Mus musculus GN=Uba2 PE=1 SV=1	1212500	1209100	1199600	1262000	1318000	1035300	886550	1262200	1038900	544460
tr|Q8C292|Q8C292_MOUSE Lysine--tRNA ligase OS=Mus musculus GN=Kars PE=2 SV=1;tr|Q8C1V4|Q8C1V4_MOUSE Lysine--tRNA ligase OS=Mus musculus GN=Kars PE=2 SV=1;tr|Q3TIV6|Q3TIV6_MOUSE Lysine--tRNA ligase OS=Mus musculus GN=Kars PE=1 SV=1;sp|Q99MN1|SYK_MOUSE Lysin	1188200	1207000	1207200	1234500	1260000	1115000	882740	1201500	1075600	490890
sp|Q8BKC5|IPO5_MOUSE Importin-5 OS=Mus musculus GN=Ipo5 PE=1 SV=3;sp|Q8BKC5-2|IPO5_MOUSE Isoform 2 of Importin-5 OS=Mus musculus GN=Ipo5;tr|Q3TT04|Q3TT04_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Ipo5 PE=2 SV=1;tr|Q7TN23|Q7TN23_MOUSE Ipo5 p	1304400	1242300	1254600	1171000	1310700	1116600	889550	1361300	1144000	801830
"sp|Q9D0I9|SYRC_MOUSE Arginine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Rars PE=1 SV=2;tr|Q3TVC5|Q3TVC5_MOUSE Putative uncharacterized protein (Fragment) OS=Mus musculus GN=Rars PE=2 SV=1;tr|Q3UAZ3|Q3UAZ3_MOUSE Putative uncharacterized protein (Fragment"	1167500	1237300	1231200	1221800	1327200	1048200	925220	1243300	1059700	707170
tr|Q3TRJ7|Q3TRJ7_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Sh3gl1 PE=1 SV=1;sp|Q62419|SH3G1_MOUSE Endophilin-A2 OS=Mus musculus GN=Sh3gl1 PE=1 SV=1;tr|Q3U3C4|Q3U3C4_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Sh3gl1 PE=2 SV=1;	1151000	1093100	1158900	1311500	1229100	1056300	1112700	1145700	1064800	312790
tr|G5E884|G5E884_MOUSE Serine/threonine-protein kinase PAK 1 OS=Mus musculus GN=Pak1 PE=1 SV=1;sp|O88643|PAK1_MOUSE Serine/threonine-protein kinase PAK 1 OS=Mus musculus GN=Pak1 PE=1 SV=1	1168500	1034900	1177500	1310400	1247600	1033700	1148800	1175400	1103400	485420
tr|Q6ZWR0|Q6ZWR0_MOUSE MCG5466 OS=Mus musculus GN=Rap2b PE=1 SV=1;sp|P61226|RAP2B_MOUSE Ras-related protein Rap-2b OS=Mus musculus GN=Rap2b PE=1 SV=1	1153300	1095400	1142200	1324200	1229700	1035400	1059200	1152800	1056900	733300
sp|Q8VCT3|AMPB_MOUSE Aminopeptidase B OS=Mus musculus GN=Rnpep PE=1 SV=2;tr|E9PYF1|E9PYF1_MOUSE Aminopeptidase B OS=Mus musculus GN=Rnpep PE=1 SV=1;tr|Q8BMH2|Q8BMH2_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Rnpep PE=2 SV=1	1154000	1161700	1187600	1190400	1343900	1047300	805350	1170000	1008700	610350
"sp|Q9D2G2|ODO2_MOUSE Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dlst PE=1 SV=1;sp|Q9D2G2-2|ODO2_MOUSE Isoform 2 of Dihydrolipoyllysine-residue succinyltransferase comp"	1112300	977660	1106900	1333100	1200600	1042200	1120500	1080400	1035400	1002400
"tr|Q4FJQ6|Q4FJQ6_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Serpinb6a PE=1 SV=1;tr|Q3U3L3|Q3U3L3_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Serpinb6a PE=2 SV=1;tr|F8WIV2|F8WIV2_MOUSE Serine (or cysteine) peptidase inhibitor, c"	1108000	1141500	1248300	1173000	1355300	1042700	1004900	1171200	1037400	483910
tr|Q8BN32|Q8BN32_MOUSE Polyadenylate-binding protein OS=Mus musculus GN=Pabpc1 PE=2 SV=1;sp|P29341|PABP1_MOUSE Polyadenylate-binding protein 1 OS=Mus musculus GN=Pabpc1 PE=1 SV=2;tr|Q3U8U8|Q3U8U8_MOUSE Polyadenylate-binding protein OS=Mus musculus GN=Pabpc	1143900	1150200	1176400	1276300	1244800	1049600	1036400	1124900	1049900	526500
sp|Q9R1T2|SAE1_MOUSE SUMO-activating enzyme subunit 1 OS=Mus musculus GN=Sae1 PE=1 SV=1;sp|Q9R1T2-2|SAE1_MOUSE Isoform 2 of SUMO-activating enzyme subunit 1 OS=Mus musculus GN=Sae1	1164200	1050000	1147500	1249000	1263600	1053200	937720	1150600	1025900	589780
tr|E9Q6X0|E9Q6X0_MOUSE Microtubule-associated protein RP/EB family member 2 OS=Mus musculus GN=Mapre2 PE=1 SV=1;tr|D3YYK8|D3YYK8_MOUSE Microtubule-associated protein RP/EB family member 2 (Fragment) OS=Mus musculus GN=Mapre2 PE=1 SV=1;sp|Q8R001-2|MARE2_MOU	1167100	1129600	1182700	1247400	1253000	1056500	1031600	1146800	1073700	1051700
tr|G3UYZ1|G3UYZ1_MOUSE Immunoglobulin superfamily member 8 OS=Mus musculus GN=Igsf8 PE=1 SV=1;tr|A0A0R4J117|A0A0R4J117_MOUSE Immunoglobulin superfamily member 8 OS=Mus musculus GN=Igsf8 PE=1 SV=1	1063700	1105800	1258500	1287200	1347200	919170	1027500	1089500	972340	676720
sp|Q9WV34|MPP2_MOUSE MAGUK p55 subfamily member 2 OS=Mus musculus GN=Mpp2 PE=1 SV=1;sp|Q9WV34-2|MPP2_MOUSE Isoform 2 of MAGUK p55 subfamily member 2 OS=Mus musculus GN=Mpp2	1186800	1165700	1192900	1226000	1300500	1022800	986870	1190300	1046000	628120
sp|O88485|DC1I1_MOUSE Cytoplasmic dynein 1 intermediate chain 1 OS=Mus musculus GN=Dync1i1 PE=1 SV=2;tr|D3Z0M6|D3Z0M6_MOUSE Cytoplasmic dynein 1 intermediate chain 1 OS=Mus musculus GN=Dync1i1 PE=1 SV=1;sp|O88485-2|DC1I1_MOUSE Isoform 1B of Cytoplasmic dyn	1259700	1148600	1198200	1306700	1179300	1063100	985820	1230900	1128700	812100
sp|O70589|CSKP_MOUSE Peripheral plasma membrane protein CASK OS=Mus musculus GN=Cask PE=1 SV=2;tr|B7ZP42|B7ZP42_MOUSE Cask protein OS=Mus musculus GN=Cask PE=2 SV=1;sp|O70589-3|CSKP_MOUSE Isoform 3 of Peripheral plasma membrane protein CASK OS=Mus musculus	1268200	1246000	1171500	1163500	1279200	1097700	905590	1333500	1157400	745700
sp|Q8CI71|VPS50_MOUSE Syndetin OS=Mus musculus GN=Vps50 PE=1 SV=2;sp|Q8CI71-2|VPS50_MOUSE Isoform 2 of Syndetin OS=Mus musculus GN=Vps50;sp|Q8CI71-3|VPS50_MOUSE Isoform 3 of Syndetin OS=Mus musculus GN=Vps50	1127100	1183800	1208600	1224100	1291100	1025000	933570	1199400	1057500	504000
tr|E9Q2E4|E9Q2E4_MOUSE Uncharacterized protein OS=Mus musculus GN=Hectd4 PE=1 SV=2	1212500	1286900	1222000	1183600	1316700	1039700	864930	1238400	1010100	770970
tr|Q3ULW0|Q3ULW0_MOUSE GTP-binding nuclear protein Ran OS=Mus musculus GN=Ran PE=2 SV=1;sp|P62827|RAN_MOUSE GTP-binding nuclear protein Ran OS=Mus musculus GN=Ran PE=1 SV=3;tr|Q14AA6|Q14AA6_MOUSE GTP-binding nuclear protein Ran OS=Mus musculus GN=1700009N1	1132100	1168900	1196700	1209400	1289900	1038600	917970	1275400	1033700	568990
sp|P35700|PRDX1_MOUSE Peroxiredoxin-1 OS=Mus musculus GN=Prdx1 PE=1 SV=1;tr|B1AXW5|B1AXW5_MOUSE Peroxiredoxin-1 (Fragment) OS=Mus musculus GN=Prdx1 PE=1 SV=8;tr|B1AXW6|B1AXW6_MOUSE Peroxiredoxin-1 (Fragment) OS=Mus musculus GN=Prdx1 PE=1 SV=1;tr|Q3U9J9|Q3U	1118800	1032800	1272100	1229000	1329700	976730	1084500	1052700	992800	992200
tr|F7AAP4|F7AAP4_MOUSE Calcium-transporting ATPase OS=Mus musculus GN=Atp2b4 PE=1 SV=1;tr|D1FNM8|D1FNM8_MOUSE Calcium-transporting ATPase OS=Mus musculus GN=Atp2b4 PE=2 SV=2;sp|Q6Q477-2|AT2B4_MOUSE Isoform 2 of Plasma membrane calcium-transporting ATPase 4	1044700	814860	1145600	1176300	1139900	1214700	910070	1442700	1215500	740810
"sp|Q8JZN5|ACAD9_MOUSE Acyl-CoA dehydrogenase family member 9, mitochondrial OS=Mus musculus GN=Acad9 PE=1 SV=2"	1152000	1117600	1219400	1228400	1251100	1044900	971810	1143700	977570	451440
tr|Q545B6|Q545B6_MOUSE Stathmin OS=Mus musculus GN=Stmn1 PE=1 SV=1;sp|P54227|STMN1_MOUSE Stathmin OS=Mus musculus GN=Stmn1 PE=1 SV=2;tr|Q9CYU5|Q9CYU5_MOUSE Stathmin OS=Mus musculus GN=Stmn1 PE=2 SV=1;tr|Q9CXQ8|Q9CXQ8_MOUSE Stathmin OS=Mus musculus GN=Stmn1	1063600	894290	1104100	1337200	1212700	968280	1271300	1104300	1193800	1231700
sp|Q9CZD3|GARS_MOUSE Glycine--tRNA ligase OS=Mus musculus GN=Gars PE=1 SV=1	1257800	1230500	1225100	1212500	1265600	1035500	874110	1204100	1013500	838710
